timestamp,date,time,vehicle_type,direction,vehicle_id,total_in,total_out
2026-01-21T01:29:42.862848,2026-01-21,01:29:42,truck,ENTRY,6,1,0
2026-01-21T01:29:42.930285,2026-01-21,01:29:42,motorcycle,EXIT,6,1,1
2026-01-21T01:29:43.335741,2026-01-21,01:29:43,car,ENTRY,12,2,1
2026-01-21T01:29:43.535544,2026-01-21,01:29:43,car,EXIT,15,2,2
2026-01-21T01:29:45.819368,2026-01-21,01:29:45,bus,EXIT,32,2,3
2026-01-21T01:29:47.031317,2026-01-21,01:29:47,bus,EXIT,65,2,4
2026-01-21T01:29:47.911209,2026-01-21,01:29:47,motorcycle,ENTRY,81,3,4
2026-01-21T01:29:48.310738,2026-01-21,01:29:48,motorcycle,ENTRY,88,4,4
2026-01-21T01:29:49.382246,2026-01-21,01:29:49,truck,EXIT,98,4,5
2026-01-21T01:29:50.799383,2026-01-21,01:29:50,motorcycle,ENTRY,114,5,5
2026-01-21T01:29:51.736247,2026-01-21,01:29:51,bus,ENTRY,128,6,5
2026-01-21T01:29:51.866878,2026-01-21,01:29:51,car,EXIT,130,6,6
2026-01-21T01:29:53.077736,2026-01-21,01:29:53,car,EXIT,152,6,7
2026-01-21T01:29:53.280376,2026-01-21,01:29:53,car,ENTRY,161,7,7
2026-01-21T01:29:54.687290,2026-01-21,01:29:54,car,ENTRY,188,8,7
2026-01-21T01:29:54.887963,2026-01-21,01:29:54,car,ENTRY,191,9,7
2026-01-21T01:29:55.554501,2026-01-21,01:29:55,truck,ENTRY,199,10,7
2026-01-21T01:29:55.888343,2026-01-21,01:29:55,motorcycle,EXIT,199,10,8
2026-01-21T01:29:57.695120,2026-01-21,01:29:57,bus,ENTRY,201,11,8
2026-01-21T01:30:00.513104,2026-01-21,01:30:00,motorcycle,EXIT,203,11,9
2026-01-21T01:30:01.252529,2026-01-21,01:30:01,motorcycle,ENTRY,203,12,9
2026-01-21T01:30:01.385592,2026-01-21,01:30:01,car,EXIT,203,12,10
2026-01-21T01:30:03.614880,2026-01-21,01:30:03,car,EXIT,208,12,11
2026-01-21T01:30:04.755895,2026-01-21,01:30:04,motorcycle,ENTRY,210,13,11
2026-01-21T01:30:05.023844,2026-01-21,01:30:05,motorcycle,ENTRY,211,14,11
2026-01-21T01:30:05.759344,2026-01-21,01:30:05,car,ENTRY,216,15,11
2026-01-21T01:30:06.837867,2026-01-21,01:30:06,bus,EXIT,228,15,12
2026-01-21T01:30:07.509571,2026-01-21,01:30:07,motorcycle,ENTRY,228,16,12
